"//<---- MercadoEnvios---->","//<---- MercadoEnvios---->"

"MercadoEnvios - Configuration","MercadoEnvios - Configuración"
"Call %s to activate your card.<br/>The phone is on the back of your card.","Llama a %s para que active tu tarjeta.<br/>El teléfono está al dorso de tu tarjeta."
"We could not process your payment.","No pudimos procesar tu pago."
"You already made a payment by that value.<br/>If you need to repay, use another card or other payment method.","Ya hiciste un pago por ese valor.<br/>Si necesitas volver a pagar usa otra tarjeta u otro medio de pago."
"Your payment was rejected.<br/>Choose another payment method, we recommend cash methods.","Tu pago fue rechazado.<br/>Elige otro de los medios de pago, te recomendamos con medios de pago en efectivo."
"Your %s do not have sufficient funds.","Tu %s no tiene fondos suficientes."
"%s does not process payments in %s installments.","%s no procesa pagos en %s cuotas."
"You have got to the limit of allowed attempts.<br/>Choose another card or another payment method.","Llegaste al límite de intentos permitidos.<br/>Elige otra tarjeta u otro medio de pago."
"%s did not process the payment.","%s no procesó el pago."

"You can not make payments to users in other countries.","No puedes realizar pagos a usuarios de otros países."
"Payment Method selected does not process payments in installments selected. Choose another card or another payment method.","El medio de pago seleccionado no procesa pagos en la cuota seleccionada. Elige otra tarjeta u otro medio de pago."
"We could not process your payment. Error code: 126.","No pudimos procesar tu pago. Código de error: 126."
"Payment Method selected does not process payments for the selected amount. Choose another card or another payment method.","El medio de pago seleccionado no procesa pagos del monto seleccionado. Elige otro medio de pago."
"We could not process your payment. Error code: 145.","No pudimos procesar tu pago. Código de error: 145"
"You can not make payments. Error code: 150.","No puedes realizar pagos. Código de error: 150."
"You can not make payments.","No puedes realizar pagos."
"We could not process your payment. Error code: 160.","No pudimos procesar tu pago. Código de error: 160."
"Payment Method selected is not available at this time. Choose another card or another payment method.","El medio de pago seleccionado no está disponible en este momento. Elige otra tarjeta u otro medio de pago."
"You made a similar payment moments ago. Try again in a few minutes.","Realizaste un pago similar hace instantes. Intenta nuevamente en unos minutos."
"We could not process your payment. %s","No pudimos procesar tu pago. %s"

"Verify the form data or wait until the validation of the payment data","Verifique los datos del formulario o aguarde la validación de los datos del pago."

"Automatic notification of the Mercado Pago: The payment was approved.","Notificación automática de Mercado Pago: El pago fué aprobado."
"Automatic notification of the Mercado Pago: The payment was refunded.","Notificación automática de Mercado Pago: El pago fué devuelto."
"Automatic notification of the Mercado Pago: The payment is being processed.","Notificación automática de Mercado Pago: El pago esta siendo procesado."
"Automatic notification of the Mercado Pago: The payment is being processed. Will be approved within 2 business days.","Notificación automática de Mercado Pago: El pago esta siendo procesado. Será aprobado en hasta 2 días hábiles."
"Automatic notification of the Mercado Pago: The payment is in the process of Dispute, check the graphic account of the Mercado Pago for more information.","Notificación automática de Mercado Pago: El pago está en un proceso de disputa, chequea tu cuenta de Mercado Pago para mayor información."
"Automatic notification of the Mercado Pago: The payment was cancelled.","Notificación automática de Mercado Pago: El pago fué cancelado."
"Automatic notification of the Mercado Pago: The payment was rejected.","Notificación automática de Mercado Pago: El pago fué rechazado."
"<br/> Payment id: %s","<br/> Número de Pago: %s"
"<br/> Status: %s","<br/> Estado: %s"
"<br/> Status Detail: %s","<br/> Detalle del Estado: %s"

"Get your public_key in the following address: https://www.mercadopago.com/mlb/account/credentials","Obtén tu public_key en la siguiente dirección: https://www.mercadopago.com/mla/account/credentials"
"Choose the status when payment was chargeback", "Elija el estado de los pedidos para pagos con status Chargeback"

"Cannot operate between users from different countries.","No es posible realizar pagos a usuarios de otros países."
"Payment method does not process installments.","El medio de pago no procesa pagos en cuotas. Elige otra tarjeta u otro medio de pago."
"Cannot pay this amount with this paymentMethod.","El medio de pago no procesa pagos del monto seleccionado. Elige otra tarjeta u otro medio de pago."
"You user cannot do payments currently","No puedes realizar pagos en este momento."
"You user cannot do payments currently with this payment method.","No puedes realizar pagos con este medio de pago en este momento."
"Unavailable paymentmethod currently.","El medio de pago no está disponible en este momento, elige otra tarjeta o medio de pago."
"Already posted the same request in the last minute.","Realizaste un pago similar hace instantes. Intenta nuevamente en unos minutos."
"doesn't find a campaign with the given code", "No se ha encontrado una campaña de descuento con el código indicado."
"We could not process your payment in this moment. Please check the form data and retry later","No es posible procesar su pago en este momento. Por favor verifique los datos ingresados y vuelva a intentarlo."

"The items Quantity has exceeded the limits. We could not process your payment.", "La cantidad de ítems ha excedido el límite. No es posible procesar su pago."
"Already posted the same request in the last minute.", "Realizaste un pago similar hace instantes. Intenta nuevamente en unos minutos."
"The transaction amount is invalid. We could not process your payment.", "El monto de la transacción es inválido. No es posible procesar su pago."
"You user cannot do payments currently", "No puedes realizar pagos en este momento."
"You have exceeded the max number of refunds for this payment.", "Has excedido el máximo número de devoluciones para este pago"
"Payment too old to be refunded", "El pago es demasiado antiguo para ser devuelto"
"Coupon code is invalid", "Código de cupón inválido"
"Your user e-mail does not exist. Please check data and retry later", "Tu dirección de e-mail no existe. Por favor verifique los datos ingresados y vuelva a intentarlo."
"You must provide your cardholder name with your card data", "Debes ingresar el titular de la tarjeta"
"Not found payment method or credit card. Please check the form data and retry.", "No se encontró el método de pago o tarjeta de crédito. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Security code is invalid. Please check the form data and retry.", "El código de seguridad de la tarjeta no es válido. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Security code is a required field. Please check the form data and retry.", "Debe ingresar el código de seguridad de la tarjeta. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Payment method or credit card invalid. Please check the form data and retry.", "El método de pago o tarjeta de crédito son inválidos. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Credit card number is invalid. Please check the form data and retry.", "El número de la tarjeta de crédito es inválido. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Expiration month can not be empty. Please check the form data and retry.", "El mes de expiración de la tarjeta no puede estar vacío. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Expiration year can not be empty. Please check the form data and retry.", "El año de expiración de la tarjeta no puede estar vacío. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Cardholder name can not empty. Please check the form data and retry.", "El titular de la tarjeta no puede estar vacío. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Cardholder document number can not be empty. Please check the form data and retry.", "Cardholder document number can not be empty. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Cardholder document type can not be empty. Please check the form data and retry.", "El tipo de documento no puede estar vacío. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Cardholder document subtype can not be empty. Please check the form data and retry.", "El subtipo de documento no puede estar vacío. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Expiration month is invalid. Please check the form data and retry.", "El mes de expiración de la tarjeta es inválido. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Expiration year is invalid. Please check the form data and retry.", "El año de expiración de la tarjeta es inválido. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Installments attribute can not be empty. Please check the form data and retry.", "Debe ingresar la cantidad de cuotas del pago. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Coupon amount is invalid. Please check the form data and retry.", "El monto de descuento es inválido. Por favor verifique los datos ingresados y vuelva a intentarlo."
"Doesn't find a campaign to amount given", "No se ha encontrado una campaña que coicida con el monto de la orden"
"Amount discount is invalid", "El monto de descuento no es válido"

"Use other card","Utilizar otra tarjeta"
"Return to cards list","Volver a lista de tarjetas"
"Mercado Pago - Classic Checkout: Invalid client id or client secret","Mercado Pago - Classic Checkout: El id de cliente o la clave secreta, son inválidas"
"Mercado Pago - Custom Checkout: Invalid access token", "Checkout personalizado - Mercado Pago: El token de acceso es inválido"
"(estimated date %s)","(fecha estimada %s)"

"Cannot repeat Magento Product size attributes","No puede repetir los atributos de tamaño de producto de magento"
"Cannot repeat MercadoEnvios Product size attributes","No puede repetir los atributos de tamaño de producto de MercadoEnvios"
"Checkout Classic Method must be enabled","El método de pago Checkout Classic debe estar habilitado"
"MercadoEnvios is not enabled in the country where Mercado Pago is configured", "MercadoEnvios no está disponible en el país configurado para Mercado Pago"
"Discount Mercado Pago","Descuento de Mercado Pago"

"Use Mercado Pago success page","Usar succes page de Mercado Pago"
"If set this config with NO, magento success page will be used","Si esta configuración se setea en NO, se usará la success page de Magento"
"MercadoEnvíos - Please enable a shipping method at least","MercadoEnvíos - Por favor habilita un método de envío al menos"
"It must be a number between 1 and 20","Tiene que ser un número entre 1 y 20"
"It must be a number between 1 and 90","Tiene que ser un número entre 1 y 90"
"Cancellation made by Mercado Pago","Cancelación efectuada mediante Mercado Pago"
"Failed to make the cancellation by Mercado Pago","Error al efectuar la cancelación mediante Mercado Pago"
"Order payment wasn't made by Mercado Pago. The cancellation will be made through Magento","El pago de la orden no fue realizado mediante Mercado Pago. La cancelación se hará a traves de Magento."
"Mercado Pago cancellation is disabled. The cancellation will be made through Magento","Las cancelaciones de Mercado Pago están deshabilitadas. La cancelación se hará a traves de Magento"
"You can only make cancellations on orders whose status is Processing or Pending","Solo se pueden hacer cancelaciones sobre ordenes cuyo estado sea En proceso o Pendiente"
"You can only make cancellations on orders whose payment status is Rejected, Pending o In Process","Solo se pueden hacer cancelaciones sobre ordenes cuyo estado de pago sea Rechazado, Pendiente o En Proceso"
"Mercado Pago - Cancellations not made","Mercado Pago - Cancelación no efectuada"
"You can only refund orders paid by credit card","Solo se pueden hacer devoluciones sobre ordenes pagadas con tarjeta de credito"
"You can only make refunds on orders whose status is Processing or Completed","Solo se pueden hacer devoluciones sobre ordenes cuyo estado sea En proceso o Completada"
"You can only make refunds on orders whose payment status Approved","Solo se pueden hacer devoluciones sobre ordenes cuyo estado de pago sea Aprobado"
"Refunds are accepted up to ","Las devoluciones son aceptadas hasta "
" days after payment approval. The current order exceeds the limit set"," días después de aprobado el pago. La orden actual sobrepasa el límite establecido"
"You can only make ","Solo se pueden efectuar "
" partial refunds on the same order"," devoluciones parciales sobre la misma orden"
"Refund made by Mercado Pago","Devolución efectuada mediante Mercado Pago"
"Failed to make the refund by Mercado Pago","Error al efectuar la devolución mediante Mercado Pago"
"Mercado Pago - Refund not made","Mercado Pago - Devolución no efectuada"
"Order payment wasn't made by Mercado Pago. The refund will be made through Magento","El pago de la orden no fue realizado mediante Mercado Pago. La devolución se hará a traves de Magento"
"Mercado Pago refunds are disabled. The refund will be made through Magento","Las devoluciones de Mercado Pago están deshabilitadas. La devolución se hará a traves de Magento"
"No payment is recorded. You can't make a refund on a unpaid order","No se registra ningún pago. No se pueden hacer devoluciones en ordenes sin pagar"
"Mercado Pago - Recurring Profile not created","Mercado Pago - Perfíl Recurrente no creado"
"Failed to update the recurring profile by Mercado Pago","Error al actualizar el Perfil Recurrente mediante Mercado Pago"
"Recurring Profile updated by Mercado Pago","Perfil Recurrente actualizado mediante Mercado Pago"
"Mercado Pago - Recurring Payment Checkout: Invalid client id or client secret","Mercado Pago - Recurring Payment Checkout: El id de cliente o la clave secreta, son inválidas"
"This payment method is used only for recurring profiles.","Este método de pago es usado solo para perfiles recurrentes"
"Payment information", "Información de pago"

"Payments Calculator","Calculador de Cuotas"
"Enable Mercado Pago Installments Calculator","Habilitar Calculadora de Cuotas de Mercado Pago"
"if set to YES, Calculator will appear on the selected pages - Custom checkout credentials (Public Key and Access Token) must be set","Si está configuración se setea en YES, la calculadora aparecerá en las páginas seleccionadas - Se deben establecer las credenciales 'Public Key' y 'Access Token' dentro de la configuración 'Custom Checkout'"
"Show Calculator on selected pages", "Mostrar calculadora en las siguientes páginas seleccionadas"
"Cart page","Pagina del carrito"
"Product Detail Page","PDP"

"Calculate your payments ", "Calculá tus Cuotas"
"with ", "con "
"my string.", "Elige una opción"
"Pay with MercadoPago", "Pagar con MercadoPago"
"Choose an option", "Eligir una opcion"
"Other banks","Otros bancos"
"Until ", "Hasta "
" payments without interest"," cuotas sin interés"
"Interest-free", "Sin Interés"
"Pay", "Pagas"
"Banck", "Banco"
"Pay with MercadoPago","Pagar con Mercado Pago"
"Payment cards", "Tarjeta de crédito"

"Credit Card - Mercado Pago ", "Tarjeta de Credito - Mercado Pago "
"ended in","terminada en"
"1st Card","1er Tarjeta"
"2nd Card","2da Tarjeta"
"Amount","Importe"
"Remaining Amount","Importe restante"
"Last 3 numbers on back side.","Los últimos 3 números que están al dorso."
"Select... ","Seleccione..."
"Select","Seleccione"
" Total amount: ","Importe Total"
"Expiration Date","Fecha de vencimiento"
"Document","Documento"
"Installments","Cuotas"
"It was not possible to calculate the installments, click here and try again.","No fue posible calcular las cuotas, haga clic aquí e inténtelo de nuevo."

"Payment Method: ","Medios de Pago: "
"Select issuer","Seleccionar emisor"
"Default issuer","Emisor predeterminado"
"Continue Shopping","Seguir comprando"
"Use 2 Cards","Utilizar 2 Tarjetas"
"Close","Cerrar"
"Configure","Configurar"

"Order Status Update - Cron Configuration","Chequeo del estado de las Ordenes - Configuración del Cron"
"Time between verifications","Tiempo entre verificaciones"
"Interval","Intervalo"
"A interval is X hours before cron execution instant. Orders between this interval are updated.","Un intervalo son las X horas antes de la ejecucion del cron. Las ordenes dentro de este intervalo se actualizaran."

"The cancellation will be made through Magento. It wasn't possible to cancel on MercadoPago","La cancelación se realizó a través de Magento. No fue posible cancelarla en MercadoPago"

"Use Tax/VAT number","Utilizar el campo Tax/VAT"
"Automatically populates the document number field with Tax/VAT","Completar automáticamente el número de documento con el campo Tax/VAT"
"Select the Street Address Number to use for Address","Seleccione el Street Address Number para usar en la dirrección"
"Select the Street Address Number to use for Address Number","Seleccione el Street Address Number para usar en el número de dirrección"

"Information requested in accordance with the rules of Circular No. 3.461/09, 3.598/12 and 3.656/13 of the Banco Central do Brasil.","Información solicitada de acuerdo con las normas de las circulares Nro. 3.461/09, 3.598/12 e 3.656/13 del Banco Central de Brasil."
"Select","Seleccione"
"Name","Nombre"
"Surname","Apellido"
"Document Number","Número de documento"
"Address","Dirrección"
"Number","Número"
"City","Ciudad"
"State","Estado"
"Zipcode","Código postal"

"Name required","Obligatorio completar el Nombre"
"Surname required","Obligatorio completar el Nombre"
"Document Number required","Obligatorio completar de un documento valido"
"Address required","Obligatorio completar la dirrección"
"Number Address required","Obligatorio completar el Número de dirrección"
"City required","Obligatorio completar el Ciudad"
"State required","Obligatorio completar el Estado"
"Zipcode required","Obligatorio completar el Código postal"

"Payment Status: %s","Estado del Pago: %s"
"Payment Detail: %s","Detalle del estado del pago: %s"
"Mercado Pago Payment Id: %s","Identificador del Pago en el Mercado Pago: %s"
"approved","aprobado"
"accredited","acreditado"
"in_process","en proceso"
"pending","pendiente"
"rejected","rechazado"

"pending_contingency","Estamos procesando el pago."
"pending_review_manual","Estamos procesando el pago."
"cc_rejected_bad_filled_card_number","Revisa el número de tarjeta."
"cc_rejected_bad_filled_date","Revisa la fecha de vencimiento."
"cc_rejected_bad_filled_other","Revisa los datos de la tarjeta."
"cc_rejected_bad_filled_security_code","Revisa el código de seguridad."
"cc_rejected_blacklist","Realice el pago con otra tarjeta."
"cc_rejected_call_for_authorize","Realice el pago con otra tarjeta."
"cc_rejected_card_disabled","Realice el pago con otra tarjeta."
"cc_rejected_card_error","Valide los datos de la tarjeta e inténtelo de nuevo."
"cc_rejected_duplicated_payment","Pago duplicado."
"cc_rejected_high_risk","Realice el pago con otra tarjeta."
"cc_rejected_insufficient_amount","Realice el pago con otra tarjeta."
"cc_rejected_invalid_installments","Su tarjeta no procesa pagos con cuotas."
"cc_rejected_max_attempts","Llegaste al límite de intentos permitidos."
"cc_rejected_other_reason","Realice el pago con otra tarjeta."

"Payment Method: ", "Método de pago: "
"ended in","terminó en"
"Last 3 numbers on back side.","Últimos 3 números en la parte posterior."
"Select issuer","Seleccionar emisor"
"Expiration Date","Fecha de vencimiento"
"Document","Documento"
"Document Type","Tipo de Documento"
"Total amount: ","Monto total: "
"Remaining Amount", "Monto restante"




"================================Versão 2.9.0================================", ""

"Please, inform your coupon code", "Por favor, llene el cupón de descuento"
"Apply", "Aplicar"
"Remove", "Eliminar"
"You will save", "Ahorrará"
"with discount from", "con un descuento de"
"Total of your purchase:", "Total de su compra:"
"Total of your purchase with discount:", "Total de su compra con Descuento:"
"*Uppon payment approval", "*Mediante la aprobación de pago"
"Terms and Conditions of Use", "Términos y Condiciones de uso"
"Discount Coupon", "Cúpon de Descuento"
"Other Bank", "Otro Banco"
"Choose", "Elige"
"Payment Method", "Métodos de Pago"
"Credit card number", "Numero de tarjeta"
"Expiration month", "Mes de Expiración"
"Expiration year", "Año de Expiración"
"Year", "Año"
"Month", "Mes"
"Card holder name", "Nombre del Titular"
"Security code", "Código de seguridad"
"Document Type", "Tipo"
"Document number", "Documento"
"Issuer", "Bancos"
"Installments", "Cuotas"
"Your Card", "Tarjetas guardadas"
"Other Cards", "Pagar con otras tarjetas"
"Other Card", "Otras tarjetas"
"ended in", "finalizado en"

"Parameter cardNumber can not be null/empty", "Ingresa una numero de tarjeta válido"
"Invalid Card Number", "Ingresa una numero de tarjeta válido"
"Invalid Expiration Date", "Ingresa una fecha de expiración válida"
"Parameter cardholderName can not be null/empty", "Ingresa un nombre válido"
"Invalid Card Holder Name", "Ingresa un nombre válido."
"Parameter securityCode can not be null/empty", "Ingresa un código de seguridad válido"
"Invalid Security Code", "Ingresa un código de seguridad válido"
