"Enabled","Activo"
"Card Number: %s","Número de Tarjeta: %s"
"Card Holder Name: %s","Titular de la Tarjeta: %s"
"Payment Method: %s","Medio de pago: %s"
"Expiration Date: %s","Fecha de Expiración: %s"
"Installments: %s","Cuotas: %s"
"Statement Descriptor: %s","Identificación en la Factura de la Tarjeta de Crédito: %s"
"Payment Id (Mercado Pago): %s","Número de Pago (Mercado Pago): %s"
"Payment Status: %s (%s)","Estado del Pago: %s (%s)"

"Click on the link to generate the ticket","Clique en el link para mostrar el ticket de pago"
"Generate Ticket","Generar ticket de pago"

"Payment Method","Medio de pago"

"Generate the ticket and pay it wherever you want.","Genere el ticket de pago y pague"
"Will be approved within 2 business days.","Será aprobado en hasta 2 días hábiles"


"Thank you for your purchase!","Gracias por su compra!"
"Your order %s has been successfully generated.","Su pedido con el numero %s fué generado con éxito."
"Done, your payment was accredited!","¡Listo, se acreditó tu pago!"
"We are processing the payment.","Estamos procesando el pago."
"In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information.","Estamos procesando el pago. En menos de 2 días hábiles te avisaremos por e-mail si se acreditó o si necesitamos más información."
"In less than an hour we will send you by e-mail the result.","Estamos procesando el pago. En menos de una hora te avisaremos por e-mail el resultado."

"Check the card number.","Revisa el número de la tarjeta."
"Check the expiration date.","Revisa la fecha de vencimiento."
"Check the data.","Revisa los datos."
"Check the security code.","Revisa el código de seguridad."
"We could not process your payment.","No pudimos procesar tu pago."

"You must authorize to %s the payment of $ %s to Mercado Pago.","Debes llamar y autorizar ante %s el pago de $ %s a Mercado Pago"
"Call %s to activate your card.<br/>The phone is on the back of your card.","Llama a %s para que active tu tarjeta.<br/>El teléfono está al dorso de tu tarjeta."
"We could not process your payment.","No pudimos procesar tu pago."
"You already made a payment by that value.<br/>If you need to repay, use another card or other payment method.","Ya hiciste un pago por ese valor.<br/>Si necesitas volver a pagar usa otra tarjeta u otro medio de pago."
"Your payment was rejected.<br/>Choose another payment method, we recommend cash methods.","Tu pago fue rechazado.<br/>Elige otro de los medios de pago, te recomendamos con medios de pago en efectivo."
"Your %s do not have sufficient funds.","Tu %s no tiene fondos suficientes."
"%s does not process payments in %s installments.","%s no procesa pagos en %s cuotas."
"You have got to the limit of allowed attempts.<br/>Choose another card or another payment method.","Llegaste al límite de intentos permitidos.<br/>Elige otra tarjeta u otro medio de pago."
"%s did not process the payment.","%s no procesó el pago."

"You can not make payments to users in other countries.","No puedes realizar pagos a usuarios de otros países."
"Payment Method selected does not process payments in installments selected. Choose another card or another payment method.","El medio de pago seleccionado no procesa pagos en la cuota seleccionada. Elige otra tarjeta u otro medio de pago."
"We could not process your payment. Error code: 126.","No pudimos procesar tu pago. Código de error: 126."
"Payment Method selected does not process payments for the selected amount. Choose another card or another payment method.","El medio de pago seleccionado no procesa pagos del monto seleccionado. Elige otro medio de pago."
"We could not process your payment. Error code: 145.","No pudimos procesar tu pago. Código de error: 145"
"You can not make payments. Error code: 150.","No puedes realizar pagos. Código de error: 150."
"You can not make payments.","No puedes realizar pagos."
"We could not process your payment. Error code: 160.","No pudimos procesar tu pago. Código de error: 160."
"Payment Method selected is not available at this time. Choose another card or another payment method.","El medio de pago seleccionado no está disponible en este momento. Elige otra tarjeta u otro medio de pago."
"You made a similar payment moments ago. Try again in a few minutes.","Realizaste un pago similar hace instantes. Intenta nuevamente en unos minutos."
"We could not process your payment. %s","No pudimos procesar tu pago. %s"

"Verify the form data or wait until the validation of the payment data","Verifique los datos del formulario o aguarde la validación de los datos del pago."

"Automatic notification of the Mercado Pago: The payment was approved.","Notificación automática de Mercado Pago: El pago fué aprobado."
"Automatic notification of the Mercado Pago: The payment was refunded.","Notificación automática de Mercado Pago: El pago fué devuelto."
"Automatic notification of the Mercado Pago: The payment is being processed.","Notificación automática de Mercado Pago: El pago esta siendo procesado."
"Automatic notification of the Mercado Pago: The payment is being processed. Will be approved within 2 business days.","Notificación automática de Mercado Pago: El pago esta siendo procesado. Será aprobado en hasta 2 días hábiles."
"Automatic notification of the Mercado Pago: The payment is in the process of Dispute, check the graphic account of the Mercado Pago for more information.","Notificación automática de Mercado Pago: El pago está en un proceso de disputa, chequea tu cuenta de Mercado Pago para mayor información."
"Automatic notification of the Mercado Pago: The payment was cancelled.","Notificación automática de Mercado Pago: El pago fué cancelado."
"Automatic notification of the Mercado Pago: The payment was rejected.","Notificación automática de Mercado Pago: El pago fué rechazado."
"<br/> Payment id: %s","<br/> Número de Pago: %s"
"<br/> Status: %s","<br/> Estado: %s"
"<br/> Status Detail: %s","<br/> Detalle del Estado: %s"
"Order # %s in store %s","Orden # %s realizada en %s"

"$", "$"
"Choice", "Elige"
"Default issuer", "Cualquier otro banco"

"Get your public_key in the following address: https://www.mercadopago.com/mlb/account/credentials","Obtén tu public_key en la siguiente dirección: https://www.mercadopago.com/mlm/account/credentials"
"Choose the status when payment was chargeback", "Elija el estado de los pedidos para pagos con status Chargeback"
